sentence1,sentence2
Ringo had an unusual goal in life.,He always wanted to be an octopus.
Tom rented an old house.,He saw online that people said it was haunted.
My mom helped him open a few to drink.,"However, the coconuts were dry and contained no fluid."
He explained the situation and they gave him a warning.,Tom had the tint taken off soon after.
Jane went camping with friends.,It started to rain on the first day.
Tim was invited to a pool party.,He only stood around the shallow end.
Dan was in the process of renovating his house.,"However, Dan's contractor gave him some bad news."
Skylar had braces.,They had been on his teeth for twelve years.
"Recently, he bought a new book titled Magical Unicorn.","Dan read the book to his daughter, and she loved it."
"But when they reached the giraffe enclosure, she got a shock.",A sign announced that the exhibit was closed for renovations!
Everyone knew how proud of his mustache he was.,"One night, Jerry and his friends got drunk."
My brother and I went on a run.,There are plenty of trails in one area.
Emily was climbing on a log.,She got a horrible splinter in her hand.
"As I carried my heavy suitcase down the stairs, I tripped on a step.","As soon as I tried to stand up, I could tell I had broken my foot."
Sally and Tommy saw a family of Syrian refugees on TV.,They were sad and wanted to help.
My ears acts up when I am flying.,I can barely hear anything.
Dan had to reignite some of them.,"However, he got burned by one of the sparks."
It was kind of expensive but I didn't mind.,We both really enjoyed out Italian food!
She said She had just been robbed.,The police were waiting to talk to her.
On the last lap it was between the red car and the blue car.,The blue car passed the red car on the final turn and won the race.
In her pajamas she tried rushing after the truck.,It was too late though and she missed it that week.
The family was bored.,They decided to go see a movie.
Ringo wanted to ride the horse.,But the horse was not broken.
Fred's neighbor watched as the bees chased him around his yard.,"When the mad bees started stinging everyone in town, Fred called 911."
Truman tried to leave the town.,A large fire spread across the outskirts of town.
Sam's parents set an earlier bed time for Sam.,They made sure he was eating well.
Kate was watching TV.,There was a news bulletin interrupting her show.
Harold turned up the lights.,The band got mad.
"To her dismay when she received it, it was not right.",It was undercooked.
He tells pete he has to let him go.,Pete was a very depressed and sad clown now.
I called my friend to ask her what else she remembered.,She casually tells me about how I flashed the whole bar.
She sent the substitute teacher her class plan.,Everybody in the class learned a lot that day.
Jane went to the hospital upon her return home.,Jane was diagnosed with the Zika virus.
The company called in a flatbed tow truck.,Before they could tow the car the driver came and drove away.
The family was not popular in the neighborhood.,They needed a new home.
"As he was cooking, he could not find the ricotta cheese.",Chris had forgotten one of the main ingredients.
He had lost control of his focus.,He sat staring at the computer screen.
We decided to do a stand off 50 pounds lost in two months.,I spend most of my time dancing at home and outdoor excising.
Tim got a new jacket for Christmas.,He wore it to school the first day back.
He knew that the fireworks would remind him of gunfire.,Keith left before the fireworks.
"Velma is very tired, now.","She hopes her work will be more interesting, tomorrow."
Amber went to the store and bought a digital antenna.,She installed it on her television.
And she had little self-motivation.,Judy learned that online classes were harder than she thought.
Mark went to school to become an accountant.,Bertram was upset by Mark's decision not to be a farmer.
"But when he got home, dozens of people jumped out at him.",Tim grinned as he saw his surprise party!
Tommy wanted to fix the scratches on his car.,The scratches came from a curb he missed last week.
She was worried about leaving her family.,She arrived at school.
Karim wanted to play hockey.,He tried out for the school team.
Tom was slowly catching up.,At the last minute the power went out.
I poured a glass of wine today.,It was gross.
Sally wanted me to go with her to find the apple tree.,I told Sally that Mike was just playing with her.
She heard a soft knock on the door.,She opened the front door and saw all her friends standing there!
Sam was very patriotic.,He loved the fourth of July.
One day Martin was working in the fields when a sudden storm arose.,Martin scampered to a nearby tree to take cover.
We are going to visit it tomorrow.,They are having a grand opening then.
I hoped they would stop the swelling in my legs.,"They are helping a little, but not very much."
Dan decided to finish fencing in the yard so the dog can roam freely.,"Once finished, Dan was pleased to see his dog enjoying the backyard."
She decided to save up so she could afford them.,Her mom agreed to pay half.
"George, despite his name, wasn't curious at all.",He didn't like learning anything new or be challenged.
"I was able to walk after 5 weeks, using a hemi walker.","At home, I switched to a quad cane, then a mini quad cane."
It turned out tasting horrible.,Tom could barely drink it.
I wasn't quite sure what to choose.,"Suddenly, I got a whiff of pizza."
Gary felt grateful he had his freedom.,He smiled and continued walking.
One day the stroller broke and she couldn't use it anymore.,She remembered seeing a new stroller at the store down the street.
She began to fight back.,She started getting better grades.
The plane was moving viciously.,I started getting somewhat scared.
Then she and her friend found out it was canceled.,The musician was sick.
Jane Monheit is one of our favorites.,Last year we bought tickets to her concert at Sculler's.
Franky was upset that his bedroom door creaked.,When he had to get up in the middle of the night it woke everyone up.
I went and sat near where she heard the sound.,We heard nothing.
Carl was picked to get more.,He took everyone's money and went to the store.
The family went to an Ohio State football game.,They were bandwagon fans.
Jeff received a letter from his city 's courtroom.,He was summoned for jury duty the next week.
Paul was the head cook in a restaurant.,He noticed that there were several canned goods that were out of date.
I went hiking yesterday.,It was horrible.
Bob always dreamed of being rich.,While Bob was standing in line at a store he noticed a sign.
An older boy knock down a smaller boy on a beach.,The small boy grabbed a stick off the beach and stood up.
"But afterwards, he felt depressed and tired.","The next week, he did the same thing."
Jake loves homemade soup.,His mom always made it for him.
"They did not taste good,",I threw them out.
My dad laughed at me and said it tasted terrible.,He gave me a sip in the cold night air.
Ross loved doing magic tricks.,He invited his friends over to watch his magic show.
The man made a craft.,He displayed it in his house.
Tom's unit was deployed to serve in Iraq.,Tom was in a truck which ran over a roadside bomb.
After a while it was clear she was not ready for til death do us part.,"His ring was really a reward for answering a quiz correctly, to her."
He had made a lot less money this year and he'd have to cut expenses.,He slashed many extra activities he was planning to do.
He was so excited.,He had planned it a year in advance.
She ran out of her bedroom to see Santa.,"Instead, she saw her parents putting presents under the tree."
"She couldn't wait to take a long, hot bath in it!","When the contractors were done, that was the first thing she did!"
I used to deliver fliers everyday in the hot sun.,My water bottle always ended up really hot.
Harry set up life insurance.,He jumped off the cliff.
The whole region got very little rain all year long.,During the beginning of autumn a large hurricane developed offshore.
Cindy knew she did not need to ask for more money.,She decided to get a job and save.
She has cut hair for over 20 years in her local area.,"One day, a very famous actress comes in and requests a haircut."
He was playing in his first game.,Another player threw him against the wall.
"Her dad almost never came to her meets, which made her feel bad.","When he came to watch her compete at State Finals, she was thrilled."
Dave said he had to finish his project.,"Dave got dumped, but he also got a promotion."
"Geoff ate out every day of his adult life, he was a 27 year old man.",He loved going to drive troughs and preferred eating in his car.
Janet finally went to the doctor to get her knee checked out.,She needed emergency surgery on her knee.
Kelly brought her dog to the park.,She was having a nice walk.
"To my surprise, the class was very interesting and engaging.",I even made a few friends in class that day.
Hilda was about to go to school.,When she wasn't looking her brother swapped her lunch bag.
Hillary's husband was the president.,She also had political aspirations.
Cathy loved watching figure skating.,Cathy dreamed of watching figure skating live.
I started a pot of pasta.,I started cleaning while it cooked.
She thought it'd be easy as she knew the plot for the first two books.,She wrote them and got a decent success.
It was at a bank in town.,She was going to be a teller.
She prepared the meat and potatoes.,She put the roast in the oven.
Kia begged her parents for a car for her 16th birthday.,Her mom and dad said it was too expensive.
The family wanted to teach her about American life.,They took her to movies and sporting events and community events.
"When he got into the pub, he found out he was there too early.",He did not want to go back home.
He also asked other people about their day and how they were feeling.,Everyone realized Gary had learned to be nice.
Her tooth had chipped where she had bit the almond.,She threw all her almonds away and swore never to eat another one.
He was bored.,He decided to start drinking early.
Tom's professor explained that he read the wrong book.,Tom was given some partial credit for his effort.
They told me that they already had enough staff.,I decided to do something else with my life instead.
It landed in a river.,One friend got hurt.
Jim has a big test.,"He got too stressed, he pulled an all-nighter."
Tina realized she got the wrong cream by mistake.,She had to rinse out her face for a few minutes.
He added a whole lot of pepper.,It still tasted too salty.
"Although I only had $10 dollars for lunch, I gave it to him.",He felt special and thanked me.
She spent hours at the gym.,"When it was time, she walked down the runway proudly."
She was back on the road again in less than an hour.,Tabatha was able to safely reach her parent's house on the spare.
Keith liked to tinker with pizza toppings.,"One day, he made his own pepperoni."
I went mountain bike.,I rode up a big hill.
"Jason came up with a good idea, to make money in Vegas.",He researched how to win at craps.
The Cardinals were trailing the Cincinnati Reds by two runs.,It was the bottom of the ninth and the bases were loaded.
"After class one day, a bully cornered him and demanded his money.",But Noel refused and stood his ground.
Finally he was a soccer player.,Randall was happy that he had finally tried a sport.
She really liked the art.,One man yelled into his phone there.
"One day, my brother brought home a tarantula.",He named it Medusa.
He now begs for food at the corner near Walmart desperate for work.,One day a Rich man passed by and saw this veteran in dire need.
They neighbor yelled at Taigen.,Taigen now doesn't pick other people's flowers.
Mark really enjoyed looking at pictures of tigers.,He also enjoyed all the books he got to read about tigers.
It did not listen to me.,I had to throw the bird out myself.
It landed on an electric pole.,"The wire broke, cutting off electricity in the house."
There was a big math test coming up soon.,"Nick was bad at math, but Kay was good at it."
She was at the medieval fair in her town and she was watching a joust.,It was silly but a lot of fun.
I've never had anyone throw up in my class.,Today that record was broken when someone threw up four times.
Taylor ordered the waitress's recommendation.,Taylor winced at the overwhelming taste of mayonnaise.
He started getting too rough.,Siegfried tried to back away but the tiger swiped at him.
"As she opened the lid, a foul smell reached her nostrils.",She gasped and looked at the expiration label.
Stacey found a baby to adopt.,On the day of birth the baby passed away.
He could make more money teaching math than writing books.,But his love of books was too strong to deny.
I went exploring near my house.,I only saw one bird and it was a sea gull.
She asked about a lot of guns.,The sales person thought she was suspicious.
It's smoking everywhere.,She calls triple A for help with her car.
George had no idea what to write.,So he decided to cheat.
He was a shy boy who had trouble meeting new people.,She walked him to his classroom.
She was really bad in day care.,The daycare called Taigen's mom.
Peter took her to the doctor.,Mary is happy to have a good friend like Peter.
"Eds wife thought he had quit smoking, but he really hadn't.",He had to sneak around and hide it from her.
To his shock she decided to end things.,Tom was heartbroken for years.
"While we were outside, I thought I'd snap some photos.",My python had other ideas.
It gave him a steady part-time income on the weekends.,He found it grueling and grating work.
Today was Angela's birthday.,Her mom took her out to dinner and bought several clothes for her.
Yesterday we went to the museum.,We viewed all the exhibits.
It just made her feel weird.,Eventually she tried meditation techniques.
She picked her top ten favorite meals.,Her kids picked the one they wanted that night.
Jane liked to climb tall buildings.,Her favorite was a big tower in the city park.
"He didn't know anything about guns, but he didn't care.","That night, he heard a noise."
His Dad had planned on taking Isaiah that weekend to get his haircut.,Isaiah's Mom took him that day to get a haircut while Dad was at work.
Karla was very pregnant.,She was headed to the hospital to give birth!
Meryl had bought a beautiful silk gown.,"But when a guest spilled wine on her, it was ruined."
Burf was contemplating suicide.,Until one day Burf decided he was going to do it.
Amy went to the dealership to start looking at cars.,She quickly found a truck and bought it within an hour.
Larry's wife was out and seen the two together.,Larry was caught cheating.
John stopped drinking coffee.,John wanted to consume caffeine.
Ana liked being prepared.,She would always make her lunch for the week in advance.
After driving around for a while they drove by the graveyard.,From the driver's seat Faith took a picture out the passenger window.
He still was no sick of pizza.,He ended up saving seventy dollars.
They couldn't afford to buy a new house either.,They decided to put on a small addition to their home.
"When he got to class, his teacher postponed the test.",He was very thankful his teacher moved the test.
Billy went home from school to play video games.,He turned on his computer.
I recently attended a comic con.,People were dressed in cosplay outfits and there were vendors.
He picked the first pear off of it.,He took a bite and smiled.
Tim had recently started at a new job.,His office was hosting a party and wanted him to bring in his family.
When they got there they found the perfect pink dresses.,Susie was relieved that was out of the way.
Helen was home all day since her parents were at work.,She felt extremely cooking.
But his swimsuit started to fall down.,He got so embarrassed and teased by his friends.
Karl and his wife were excited to try a new restaurant.,The line was long to be seated.
Kara was a doctor.,She had to bring a pager around everywhere.
She realized she had accidentally used his little brother's sweater.,So his little brother got the one she had knitted since it fit him.
After finishing she takes her tray to the trash.,While walking to take the tray she trips and falls.
Bob demanded to know why he was denied.,The bank manager explained that his credit was terrible.
Manuel waited impatiently for some good news.,A day later someone called saying they had found the dog.
Terrance is playing in a football game.,He is going to make a touchdown.
There was a large protest right outside.,Apparently the musician was not allowed on stage.
Bob's shoes wore down from playing sports.,He needed a new pair for the big game.
Tom heard some screeching outside.,He went out to see a cat fight.
They decided to go for a swim.,The hotel staff kicked Ben and his friends out of the pool.
"None were great, but nobody mocked anyone else!",Finally Linda found the courage to sing her own song!
"Suddenly, John's roommate got a call and had to leave.",It was too late to cancel the pizza order!
Her friends didn't want to eat there again.,But she convinced them to go there for lunch today.
I went fast on the highway for a majority of the ride.,When I was on my way home I stopped and got food for my mom.
Unfortunately it was too expensive without insurance.,Without his medication he couldn't function at work.
They lost track of the time and began to run.,They ran down the pier yelling.
The British were coming.,Paul decided if they came by sea he'd flash the light once in warning.
James and a couple friends wanted to climb a large mountain.,They trained for a few months by hiking up hills in their city.
I requested time off from my job.,"When the weekend came, I quickly headed north."
After moving into my new house my family wanted a first dinner.,It was special to them so we tried to figure out what to cook.
Rick dared me to jump in the lake.,I was about to jump in the lake and I heard something.
Jeff fell asleep on the bus.,He missed his stop.
"She was usually very sour at work, especially when helping customers.","One day, Heidi had to help a young woman with a purchase."
He decided on a day trip to a local vineyard.,Ben booked a party bus to take them to the vineyard for the day.
Erica slept all day and finally felt better.,The next day she went back to work.
He got on stage with the group for his first performance.,Hank was very nervous but thought he'd done well.
Ronald liked race cars.,He spent a lot of time building classic race cars.
She also carried a pink purse and had liberally applied red lipstick.,"Refusing to change, Sam went to soccer practice dressed that way."
I also had seen what looked like fireworks going off in the microwave.,I shut the microwave off and realized the wrapper had aluminum in it.
Josh kept getting prank calls.,He would get them late at night.
He rewarded himself with ice cream and cookies.,But afterwards he felt jittery and nervous.
The new food he got was completely bland.,Tom didn't complain again but also didn't return.
She told her boss that she needed a day off.,Elle took the day off and went to the doctor.
She changed her usernames where she was able.,She could not leave a trace of herself behind.
Tom bought a large amount of straws at the store.,Tom used a new straw for each coconut.
Carl got a new job stacking boxes.,He figured it would be easy work.
His parents were never supportive of his story writing talents.,"One day, Frank bumped into his favorite writer at the mall."
He bought a hat to shade himself from the sun.,He ate chocolate ice cream and felt it cooled him down.
Kathleen had a very big metal bat.,She was given it by her father.
She dressed Jack in swimming trunks and showed him his arm floats.,Mommy and Jack arrived at the pool.
"When she performed at the school's concert, everyone was shocked.","She sang so beautifully, no one believed it could come out of her."
Jerry brought a bat home anyways.,His mother compromised.
Helen checked out a few items at the supermarket.,The cashier tried to swipe her credit card.
The couple was headed on a road trip.,They were going to go to Colorado and Utah.
Ironically he decided to teach so other kids wouldn't struggle.,Now he is helping kids who would otherwise hate learning too.
Ralph needed a job very badly.,He had a big interview at the local bank for a job as a teller.
I placed my spoon inside of the soup.,A living squid unexpectedly started to climb on it.
She watched anxiously as the judges took bites of her dish.,The judges agreed that Emma baked the best pie.
Turner was very bad at the violin.,His only dream was to get good at it.
It slid through the intersection and into the ditch on the other side.,A tow truck had to come to pull the car out.
When he got his food he saw that the chicken wasn't spicy.,Edward complained to the manager.
But the cops cuffed her.,Juliette denied her involvement until she confessed during the trial.
A couple of his friends got tired of allows losing to Fred.,So they practiced every chance they got.
She asked her daughter if she wanted anything.,Her daughter wasn't hungry.
I went to the doctor and learned I had sciatica.,Now I have an appointment for physical therapy.
They hiked a five mile lake trail before lunch.,"After 6 hours of hiking, they headed home."
He noticed a cat running around outside.,He kept seeing it.
Kate was driving home.,She heard a loud noise coming from her car.
She was too busy talking to remember how hot it was.,"As she was driving, she hit a bump."
He went to the mall that day looking for the perfect pair of shoes.,"He found the shoes he wanted, but the store didn't have his size."
Since they were so old she had thought she'd never see them live.,Thrilled she went online to buy tickets immediately.
This was making the anchors come loose and Al tried to fix it.,Luckily he and his friends managed to stabilize the anchors.
"In the morning, the room was still dark.",Lisa was happy with the change she had made.
Our group danced for a few minutes.,After that we were tired.
"He couldn't afford it, though.",He asked the parents to donate supplies.
He was taken to the hospital.,There he was given proper treatment.
She was always being asked to help out.,She felt abandoned.
She longed for the day she could be on a team.,"Recently, Bailey saw a flyer for roller derby team auditions."
They spent months restoring every inch of it.,"When his son turned 16, David handed him the keys."
One day there was a troubling storm brewing.,The tornado sirens kept going off.
Landon was told by his mother to walk the dog.,Landon absolutely detested it because people yelled at him.
On the day of the race he was very nervous.,He raced his very best and ended up winning the race.
They made the pizza just the way they wanted.,They baked the pizza perfectly.
He had torn his into pieces.,I decided to go ahead and buy him a new one.
Before I knew it someone had stopped to help.,We were able to jump-start the car without a problem.
I came home and tried to find something to eat.,I ended up finding some lettuce and other salad makings.
Tom didn't want to seem weak.,He drank it too fast and got drunk.
She knew she wasn't supposed to.,Her mother hit the brakes suddenly.
But his chair wasn't high enough.,So he stood on his table.
I was working rather diligently.,I was trying to get things done.
She studies day and night for three weeks.,"On the day of the spelling contest, Jessica places in first place."
She decided to contact an agent.,She hired the agent.
Adam's muffler began dragging when one of the clamps broke.,The noise of the rattling and scraping was irritating.
I went into the pantry to get the bread.,Unfortunately the bread had mold on it.
He kept walking and found the trail again.,John decided to never leave the trail again.
Nick loved whales.,And he always wanted to see one.
A cop pulled Sam over.,She wanted to know his reason for speeding.
He got a bunch of material together.,He began constructing his raft.
She felt like her heart was breaking in half.,He later apologized and said he would stop drinking.
They arrived to the supermarket to pick up a few belongings.,Her child raced towards the toy section.
Tom had to work two jobs to pay rent.,Unfortunately they both kept changing his schedule.
He explained that the colleagues had made fun of his beliefs.,But the colleague insisted he only tried to give his own opinion.
She rolled out the kite string as the wind picked her kite up.,Wilma ran up and down the shore with her kite for an hour.
He can't get up in time.,The fire consumes him and he dies.
She did this every day for almost two years.,She amassed a huge collection of poems.
Max was trying browse the internet for fun.,He was enjoying himself except his computer was so slow.
Scott was playing in his backyard when he heard a hiss.,As he looked down he saw there was a snake right by him.
She said it was a xylophone.,We were amazed she could pronounce the word.
He went on his computer to see if there were any coupons.,"Alas, Steve didn't find any that were for enough money."
The man found a house.,He made an offer to buy it.
He is nominated for an award.,He arrives at the award show.
When we went it was very hot.,I jumped in right away.
A tow truck driver stopped and picked Cal up.,The driver got Cal to his wedding on time.
"These groups consisted of jeans, or everything else.","So far, this method worked for him."
Eventually her hair got so tangled that it looked like a birds nest!,She heard that using coconut oil would help to detangle it.
She took him out to eat to a place they'd never been.,"Driving back, she became lost."
Everyone got soaked.,"However, it didn't stop them from having a good time."
Rex had a large comic book collection.,He loved adding to it by visiting garage sales and swap meets.
I wrote her a poem when I left.,She gave me a hug.
The dog sat looking up at her.,"She whined knowingly, wanting attention."
I went to the movies this afternoon.,When the movie ended I noticed everyone left their garbage.
We played 4 games.,I lost the first one and tied the second.
"At the weekend, Sara managed to get lost in the mall.",She wandered off into a shop and split from her parents.
The whole family looked around for hours.,When they finally contacted authorities Debbie was gone two hours.
"With so much money available to him, he could do a lot of good.",He helped many charities.
I looked in my wallet.,I pulled out a dollar.
Bob really wished the people involved an eternity of pain and torment.,He made a mental note to send them Carrot Top movies for Christmas.
"After looking at the menu, she ordered a club sandwich.","When it arrived at the table, it was huge!"
He ended up getting rained on then.,He regretted his decision to leave early.
The food was very visible.,Aaron called his mom to bring him a new shirt.
Sally was going to the pet store.,She was very excited.
He entered a competition in Chicago.,He ended up winning first place!
"No matter how much he tried, he never got better.",He went to his Saturday baseball game feeling hopeless.
She was nervous.,Katelan walked over to her desk.
She went on a diet and lost a few pounds.,"But when she didn't find a husband, she went back to eating normally."
Then they ate pizza!,It was a lot of fun to spend time with her friends.
"When she woke up the next day, her house was covered in toilet paper.",Gertrude left it there all year and became the toilet paper lady.
They took turns driving their cars.,They saved a lot of money on gas this way!
I found a pamphlet in my door.,It was an invitation to a rally.
Abby recently went diving in Jamaica.,"As Abby was diving, she grabbed a piece of coral."
Her current goal is to run five miles.,She reaches her goal in six weeks.
Jill was very afraid of spiders.,A friend of hers said he knew of a way to conquer her fear.
The woman found dust on the desk.,She cleaned it off.
It was a hot summer day.,Trina gave her daughter a Popsicle.
She was getting all ready.,Then she noticed her bridge broke.
Velma only had five dollars.,Velma looked through her car for spare change.
"Every day when Ellen woke up, she exercised for twenty minutes.",She needed it to feel energized to face her day.
They said you could not touch anyone.,If you did you had to kiss them.
I came into work after another employee had worked.,I noticed the desk was extremely dirty.
"I worked most of the day, and forgot about the music.","At the end of the day, I went to close everything."
He was wandering for an hour.,He finally went out.
She finally went to a store and found the perfect one.,She was so excited to buy it.
They've asked her to get a job or to go to school but she refuses.,So one day she went to the mall and they changed the locks.
"As the town grew, more and more people purchased from his store.",Tom's store became the most popular store in the town.
"She stirred in sugar and lemon juice, dissolving the sugar.",She gently placed ears of corn into boiling water.
First organize my laundry into my bag depending on type.,Then I make sure I have cash to put on my pay card.
Kristopher knew he wasn't qualified but he applied anyway.,He received a phone call for an interview the following week.
He said she could have a great result with surgery.,Melissa went under the knife after a lot of discussion.
Maria went fishing at the river.,Maria caught a big fish.
We saw bald eagles too.,It felt great there in the summer.
I decided that I should switch to worm bait.,After that I caught many fish.
Antonio and Bella had been in love for years.,"One night, he didn't come home until four am."
I had so many questions I wanted to ask him about hurt and love.,I read Mr Womacks autobiography and I'm a better person for it.
I decided to read a lot of books that I enjoyed.,After that I was good at spelling.
Johnny realizes he needs more protein in his diet.,He decides to drink a glass of milk.
When there she saw Keanu Reeves.,She went to speak to him.
It takes some really cool videos.,You will have to come check them out.
She got to know a few of them.,They became friends.
"She'd never ridden a Metro before, but thought, how hard could it be?",But she was reading her schoolbooks and missed her stop!
"Everybody packed in, on their way to work.",The train started shaking and making a loud screech.
He slept in late after staying awake all night.,He rolled over in bed and stared at his wife.
But they also had movies and magazines too.,I checked out a book and a movie.
Allie needed sunscreen.,But she didn't want a big bottle.
Tom was playing hop scotch with friends.,He was winning at first.
Keith asked the instructor for additional help.,The instructor gave Keith extra help outside the class.
The sore developed quickly.,It spread across the side of her leg.
Kayla likes going swimming.,She looks forward to swimming in the family pool tomorrow.
But he just fell asleep and dreamed nothing at all!,"When he woke the next morning, he was disappointed."
She had met him through a blind date.,"After ten dates and a proposal, Tim revealed a secret."
She screamed YES!,Nathan couldn't wait to enjoy their engagement.
They found one that had TVs in the seats.,The kids were so excited to ride in it!
"While she was singing, a pair of lesbians started kissing.","Joe was not bothered by this display, and smiled."
He got out of the car to look and found that two tires had exploded.,We never got to the park and instead waited for tow truck in the heat.
The beard grew and grew.,The wife shaved it while he slept!
The man held up his hands.,The police told him to be still.
He was losing his hair.,He decided to shave his head.
Sam decided to walk home from school.,He noticed a girl walking home too.
He designed it to carry small buckets and vacuum the floor.,His design was bought by a large manufacturer one day.
It had room for five photos.,He wanted himself and his girlfriend to contribute photos.
Today we had an outdoor luncheon provided by the building manager.,"Sam came, his hair uncombed and very unshaven."
The police pretended to meet his demands.,The police went in and apprehended John.
Carrie's man was cheating on her and she was very mad.,She took a heavy aluminum bat and bashed in his car's headlights.
And Kevin only wanted to eat pumpkin pie.,So he waited till everyone was done eating turkey and mashed potatoes.
I fell and hurt my back.,Now it's difficult to walk.
"In the end, Scott didn't get any award.",He felt secretly disappointed.
She was very excited about it.,On her first night out wearing it her friend wore the same.
Carlos has always wanted to use his woodworking skills.,He decides to build a table for a friend's birthday present.
They told her she was not eligible for an upgrade.,They told her she could add a line to her account to get a new phone.
The coffee was very hot.,I let my coffee cool down.
He finally gave up and picked something random.,It was terrible.
She went to the bank and made a withdrawal.,"When she got home, she noticed her wallet was missing."
She took it home and put up posters in her neighborhood.,Nobody called her back.
There was a beautiful table on sale.,Many people walked by and admired it.
Eddie was going to the school dance with his girlfriend on Friday.,His girlfriend broke up with him earlier in the week.
Walton was the manager at a grocery store.,A woman came into the store and wrote a bad check.
"As he walked in, he patted his pockets.",He realized he left is list at home.
She loved it.,All of the sudden she heard a great song.
Tom was out on a hike.,He noticed a tiger far away.
Sam did his extra studies every day diligently.,Soon he was doing much better in reading class!
It ended up breaking.,She had to buy another one but at least she got it free.
"Luckily, the rain held off until everyone had eaten.",Lua was very happy about that!
"That price was only for people with perfect credit, apparently.",Ryan's payment would be more than double the advertised price!
"After his game, he couldn't find his phone.",He looked all in the locker room.
When he told his wife they were going she nearly fainted.,They both had a blast in the Big Apple.
Unfortunately it didn't for hours.,Tom had to cancel plans and stay in.
The mechanic checked it out.,The mechanic told Paul he found the problem.
I finally took time to listen to what my body was telling me.,My health demanded I delegate stressful tasks and allow play time.
"Finally, I gave up making anything and took him to McDonald's.",He got a hamburger and fries.
"When they arrived, he put them on the mattress.",He couldn't wait to climb in the bed that night!
Danny doesn't like his neighbors dog.,It always chase him to school.
He sighed with relief.,His feet felt better.
Bill always wanted to learn Japanese.,Bill bought some instructional videos and began studying.
It felt too heavy.,He took the backpack off.
He couldn't find anyone good enough.,"Until at the end, the perfect candidate shown up and he hired her."
Noah wanted to be President when he grew up.,"But as he got older, his aspirations changed."
"However, he finds that without a gym membership he rarely exercises.",Jack begins to gain weight.
So she drops out of school and takes a job.,She starts her work at a fast food restaurant and never looks back.
It was elaborate and fun.,Jane proudly showed off her costume at different parties.
Tom was a street racer.,And he won many races.
I had not yet learned how to fix a flat tire.,I called my Dad and asked him for instructions.
So she got it done.,It hurt very badly.
Hannah got pregnant at 15.,She started sneaking out to see boys and grown men.
Simon left with his girlfriend feeling angry.,They finished their dinner in a restaurant alone.
She loves watching the lighthouse illuminate over the sea.,"While she's there, she sketches landscape."
She got chosen to participate.,Jill was very proud to finally be a star in her own TV show.
"But when he arrived, he was bummed.",The pizza was burned!
Mary had been feeling depressed lately.,She decided to go to a psychiatrist.
Sara had so many old clothes.,But she hated to throw things away.
Dan bought a foreclosed house years ago.,He has spent the past years fixing it up.
She turned the corner and walked up to a house.,She rang the doorbell and her grandma answered!
He had neglected them for a long time.,The cleaner windows allowed a lot more light in.
It was a good forty bucks more for the longer one.,I also thought it'd be way harder to drive.
I poured my heart and anger out.,I said some terrible things.
Kate wanted to be a ballerina.,She had to wait until she was 5 to take classes.
"When the storm came to land, it ended up being just a tropical storm.",We were able to go to the beach during the last two days of our visit.
She finally found the perfect one.,It was out of Sara's budget.
Flora pushed her sister and grabbed the remote.,She fell on her head.
"Once his plan was set, he opened up the restaurant.",His restaurant has been a success.
"After a while, he ate so much that he grew fat.",This became an issue where he had to go to the hospital.
He would give away food to his friends.,A co-worker reported Al.
The houses looked much better.,"When the trees grew, it all looked very nice."
She studied hard in high school and went to college for science.,She decided to get her doctorate in biology.
The two boxers were both ready.,Tonight was the big fight.
The first exhibit they went to see was the dinosaur fossils.,Jim told James he did not believe in dinosaurs.
Everybody was dancing but him.,He didn't know how to dance.
My school tried to teach us about the meaning of Thanksgiving.,What they actually did was semi-starve a bunch of second graders.
"In 1987, our daughter developed bottle mouth.",She was 2 years old.
He jumped up and grabbed a towel.,John cleaned up his mess.
His ears were ringing and his hands were sore.,Then he realized it was from the loud music and hand-clapping.
Richard's job was hard during the summer when many felt indulgent.,"Richard soldiered on year-round, believing his company to be noble."
My wife went food shopping today.,She was in the lobby heading out.
There is something that is new this year.,An all out puppy parade instead of the traditional Christmas parade.
All for different variations of dirty.,Tom would still wear clothes from the cleaner pile.
Remi was eager to learn about Hindu culture.,She visited a temple in the city.
The pizza shop owner asked customers where he heard of his shop.,They told him that they saw an ad in the taco shop.
Juan walked through the school doors.,It was his first day at a new school.
Tom was eating at Subway.,He got a sandwich and some chips.
I found I was able to punt the ball very far and I made the team.,I learned that trying different things is important in sports.
"Parking, and then walking to the beach.",She placed her towel on the beach and enjoyed the wonderful day.
Unfortunately she wasn't a very good driver.,She went to take her test and failed.
So he bought a brand new one.,He decided to play tennis with his friend.
Susie wanted to see a new movie.,So she decided to go to the theater.
She told him she did not like his humor.,He apologized.
They crawled from the sand and made it into the ocean.,We felt like we were helping the world by saving turtles.
Allie's neighbor ended up loving it.,Allie was very thrilled.
She also makes a huge mess and is very sloppy.,She got kicked out in two weeks.
Heather was always a skinny girl until she turned 40 years old.,All of a sudden she found herself gaining a few ounces every month.
He held it with his pliers and placed it on the anvil.,The hammer blows rang through his shop.
Tim loved listening to great thinkers speak.,Tim would take notes and re-read the notes regularly.
He had been tracking a deer for miles.,He spotted in the middle of a large field and took a shot.
Clove realized how lucky she was to have so much food.,She resolved to stop complaining and being so picky!
His brother kept the movie for months.,"When Justin asked, his brother admitted he lost the movie."
"In 1983, I received a My Little Pony for Christmas.",I refused to open or play with any of my other gifts.
